tic_id,period_days,period_power
380165622,100.0,0.0012033327141902403
376787680,0.2002715141065975,0.5751343796932321
380668425,12.084159854352722,0.5940952831572415
325314611,14.44689920067288,0.2032786072921808
149951723,17.447234157658052,0.6014384463677453
173107765,14.179438381092849,0.2524126378768566
397013579,14.46508530381148,0.3100493816492404
173164452,14.177844369215078,0.22533749989392934
149969713,1.0327280204955416,0.48797619713167006
49503072,6.787358121154216,0.4412334377550881
