tic_id,classification,source
96194280,unknown,TIC
56761406,unknown,TIC
952760771,unknown,TIC
952768248,unknown,TIC
366659538,unknown,TIC
446671802,unknown,TIC
902583581,unknown,TIC
902900493,unknown,TIC
397052004,unknown,TIC
397023772,unknown,TIC
953633407,unknown,TIC
397056892,unknown,TIC
96197788,unknown,TIC
953306519,unknown,TIC
903255486,unknown,TIC
952760686,unknown,TIC
902584459,unknown,TIC
376796085,unknown,TIC
35064497,unknown,TIC
952745831,unknown,TIC
397027049,unknown,TIC
366700383,unknown,TIC
903244023,unknown,TIC
953343517,unknown,TIC
953316823,unknown,TIC
902593923,unknown,TIC
96198193,unknown,TIC
902594988,unknown,TIC
952753972,unknown,TIC
953301424,unknown,TIC
421193135,unknown,TIC
953252981,unknown,TIC
56772069,unknown,TIC
953295375,unknown,TIC
35022017,unknown,TIC
376813934,unknown,TIC
952760977,unknown,TIC
953314608,unknown,TIC
35019407,unknown,TIC
953632539,unknown,TIC
376796902,unknown,TIC
952754183,unknown,TIC
349445977,unknown,TIC
903255568,unknown,TIC
56837148,unknown,TIC
902591501,unknown,TIC
376886926,unknown,TIC
35062966,unknown,TIC
35088089,unknown,TIC
953314955,unknown,TIC
953306940,unknown,TIC
902939687,unknown,TIC
376866195,unknown,TIC
953321585,unknown,TIC
289513560,unknown,TIC
96197706,unknown,TIC
902554630,unknown,TIC
96195062,unknown,TIC
953630072,unknown,TIC
902894922,unknown,TIC
953631576,unknown,TIC
902881794,unknown,TIC
301629091,unknown,TIC
953627937,unknown,TIC
952743585,unknown,TIC
446672794,unknown,TIC
903256575,unknown,TIC
902881258,unknown,TIC
376798226,unknown,TIC
376856169,unknown,TIC
262812006,unknown,TIC
952763743,unknown,TIC
953654355,unknown,TIC
953313431,unknown,TIC
397023160,unknown,TIC
902894405,unknown,TIC
952745598,unknown,TIC
903255466,unknown,TIC
397052662,unknown,TIC
902597696,unknown,TIC
902940986,unknown,TIC
902865375,unknown,TIC
953317569,unknown,TIC
96243686,unknown,TIC
902565932,unknown,TIC
301627828,unknown,TIC
953632817,unknown,TIC
903242212,unknown,TIC
953320396,unknown,TIC
902591712,unknown,TIC
421192430,unknown,TIC
62941747,unknown,TIC
953252954,unknown,TIC
952762849,unknown,TIC
953318862,unknown,TIC
902905643,unknown,TIC
902895934,unknown,TIC
953628794,unknown,TIC
902581474,unknown,TIC
78288430,unknown,TIC
953309584,unknown,TIC
376865205,unknown,TIC
903243531,unknown,TIC
953657950,unknown,TIC
412130274,unknown,TIC
49545733,unknown,TIC
903257053,unknown,TIC
35090432,unknown,TIC
902895447,unknown,TIC
397025516,unknown,TIC
953645802,unknown,TIC
149968137,unknown,TIC
953252125,unknown,TIC
81987971,unknown,TIC
902583638,unknown,TIC
35021665,unknown,TIC
376786106,unknown,TIC
412130028,unknown,TIC
953636425,unknown,TIC
952757498,unknown,TIC
952754438,unknown,TIC
366681484,unknown,TIC
376797194,unknown,TIC
953310876,unknown,TIC
953630122,unknown,TIC
953628626,unknown,TIC
952763085,unknown,TIC
952755235,unknown,TIC
902583637,unknown,TIC
953299427,unknown,TIC
376796041,unknown,TIC
902589667,unknown,TIC
952766523,unknown,TIC
902941287,unknown,TIC
953318141,unknown,TIC
902867996,unknown,TIC
902565799,unknown,TIC
366711141,unknown,TIC
62940813,unknown,TIC
421193970,unknown,TIC
952757568,unknown,TIC
952754074,unknown,TIC
376785592,unknown,TIC
902569546,unknown,TIC
902569659,unknown,TIC
902599856,unknown,TIC
902592171,unknown,TIC
35022076,unknown,TIC
902903595,unknown,TIC
81989373,unknown,TIC
