tic_id,status,rows,error
35091182,success,3521,
421193922,success,3521,
376812222,failed,0,Failed after retry
446674414,failed,0,Failed after retry
376786621,success,26376,
325274111,failed,0,Failed after retry
377261907,failed,0,Failed after retry
366683035,success,10689,
35021058,success,16542,
82054003,success,22506,
147698405,failed,0,Failed after retry
376811773,failed,0,Failed after retry
35019584,success,3521,
380576437,success,13305,
397559029,success,6614,
366660590,failed,0,Failed after retry
81988659,success,57052,
173164452,success,32361,
62941615,failed,0,Failed after retry
337749805,success,26390,
397026518,failed,0,Failed after retry
376885007,success,0,
35062961,success,3521,
380577004,failed,0,Failed after retry
377170968,failed,0,Failed after retry
514777201,failed,0,Failed after retry
56759260,failed,0,Failed after retry
94892463,failed,0,Failed after retry
366699056,failed,0,Failed after retry
56769750,failed,0,Failed after retry
35089981,failed,0,Failed after retry
94942406,success,13324,
446673895,success,3521,
49429194,failed,0,Failed after retry
396949397,success,26044,
144169409,failed,0,Failed after retry
366697134,success,22988,
49503211,failed,0,Failed after retry
56720742,failed,0,Failed after retry
366740946,success,16691,
173146026,failed,0,Failed after retry
397056796,failed,0,Failed after retry
397519893,failed,0,Failed after retry
281884917,failed,0,Failed after retry
376788155,failed,0,No light curve found
281930003,success,22826,
149968032,failed,0,Failed after retry
94942452,failed,0,Failed after retry
397013579,success,22495,
78272475,success,22521,
377172217,failed,0,Failed after retry
49417695,success,25748,
380165620,success,25897,
366722645,failed,0,Failed after retry
397024279,failed,0,Failed after retry
94941091,success,13435,
49503251,failed,0,Failed after retry
350475525,failed,0,Failed after retry
56720653,failed,0,Failed after retry
366681641,failed,0,Failed after retry
397023174,failed,0,Failed after retry
376788286,success,3521,
49425777,failed,0,Failed after retry
397433224,failed,0,Failed after retry
380642118,success,32269,
262933844,success,16696,
376757421,failed,0,Failed after retry
144248788,failed,0,Failed after retry
49505344,failed,0,Failed after retry
94925235,failed,0,Failed after retry
350475239,success,32847,
96194297,failed,0,Failed after retry
376886844,success,3508,
421191821,failed,0,Failed after retry
56762988,failed,0,Failed after retry
49428468,failed,0,Failed after retry
366660744,success,22942,
262933775,success,13457,
49429389,failed,0,Failed after retry
130590314,failed,0,Failed after retry
78311593,success,14120,
376854857,failed,0,Failed after retry
397053650,success,13445,
377250195,failed,0,Failed after retry
66672997,failed,0,Failed after retry
349457896,success,16634,
366721504,success,13457,
446673665,success,6704,
35010505,success,3521,
78310159,failed,0,Failed after retry
380544735,failed,0,Failed after retry
49425732,failed,0,Failed after retry
377189264,failed,0,Failed after retry
78310275,failed,0,Failed after retry
325314611,success,26126,
366660857,failed,0,Failed after retry
130634938,failed,0,Failed after retry
366681846,failed,0,Failed after retry
397025502,success,23001,
377171333,success,17785,
49462876,success,14141,
363573260,failed,0,Failed after retry
325273691,failed,0,Failed after retry
173110027,failed,0,Failed after retry
397559186,success,7806,
953309403,success,3521,
147684364,failed,0,Failed after retry
366682043,failed,0,Failed after retry
380545064,success,25700,
366659915,success,252563,
325253920,failed,0,Failed after retry
94894689,success,13440,
389355303,failed,0,Failed after retry
49503236,failed,0,Failed after retry
78311047,failed,0,Failed after retry
56771121,failed,0,Failed after retry
397482688,failed,0,Failed after retry
152821936,success,13301,
152824458,success,13341,
377259959,failed,0,Failed after retry
130587710,failed,0,Failed after retry
396950918,failed,0,Failed after retry
152821930,failed,0,Failed after retry
173107838,failed,0,Failed after retry
96244566,failed,0,Failed after retry
49453454,failed,0,Failed after retry
377227927,success,17781,
281906534,success,17328,
149968469,success,16725,
94942001,failed,0,Failed after retry
301677389,failed,0,Failed after retry
376786973,success,14091,
78289427,success,3521,
376865440,success,3351,
173164734,failed,0,Failed after retry
281930439,failed,0,Failed after retry
130609604,success,13457,
377249246,success,18718,
49503072,success,14097,
281930144,failed,0,Failed after retry
130609452,failed,0,Failed after retry
397519940,failed,0,Failed after retry
376796816,failed,0,No light curve found
380546881,failed,0,Failed after retry
281930471,failed,0,Failed after retry
96243166,failed,0,Failed after retry
56813089,failed,0,No light curve found
366681547,failed,0,Failed after retry
380544998,failed,0,Failed after retry
96198605,failed,0,Failed after retry
421195365,failed,0,Failed after retry
380575256,failed,0,Failed after retry
66670666,failed,0,Failed after retry
98582056,failed,0,Failed after retry
49417722,failed,0,Failed after retry
396936347,failed,0,Failed after retry
377299052,failed,0,Failed after retry
349456548,failed,0,Failed after retry
56811411,success,16497,
421192923,success,22526,
281885196,failed,0,Failed after retry
376850041,failed,0,Failed after retry
380542756,success,17355,
376855489,failed,0,Failed after retry
377229529,success,14605,
94924080,failed,0,Failed after retry
35090467,failed,0,Failed after retry
377228174,failed,0,Failed after retry
35029242,failed,0,Failed after retry
397057148,success,33086,
147679321,failed,0,Failed after retry
152805014,failed,0,Failed after retry
397051786,success,13445,
66671578,failed,0,No light curve found
366698658,failed,0,Failed after retry
78289768,failed,0,Failed after retry
66630294,failed,0,Failed after retry
388925004,failed,0,Failed after retry
173146703,success,25759,
376850415,success,23266,
96197920,failed,0,Failed after retry
56772673,success,32238,
281885450,success,25764,
49464897,failed,0,Failed after retry
149952990,success,17697,
