tic_id,rows,filename
388925056,13457,TIC_388925056.csv
366698806,14095,TIC_366698806.csv
421193432,6704,TIC_421193432.csv
376813729,22995,TIC_376813729.csv
149951788,13457,TIC_149951788.csv
380546964,25759,TIC_380546964.csv
325254297,17312,TIC_325254297.csv
62941422,22502,TIC_62941422.csv
56763829,13438,TIC_56763829.csv
35028471,6704,TIC_35028471.csv
363574007,13290,TIC_363574007.csv
49464291,14131,TIC_49464291.csv
96195643,3521,TIC_96195643.csv
66628887,16639,TIC_66628887.csv
147697618,16712,TIC_147697618.csv
56760934,13411,TIC_56760934.csv
281907544,13918,TIC_281907544.csv
66603888,13263,TIC_66603888.csv
380668425,17105,TIC_380668425.csv
376784892,26389,TIC_376784892.csv
173107765,25720,TIC_173107765.csv
96194410,3521,TIC_96194410.csv
49504164,25889,TIC_49504164.csv
446671796,14115,TIC_446671796.csv
56762947,13408,TIC_56762947.csv
56810374,13379,TIC_56810374.csv
147683759,9949,TIC_147683759.csv
376812733,6770,TIC_376812733.csv
377249503,13457,TIC_377249503.csv
96195354,6794,TIC_96195354.csv
377262134,13457,TIC_377262134.csv
49418514,25743,TIC_49418514.csv
96195395,3417,TIC_96195395.csv
366722161,3508,TIC_366722161.csv
152829505,13371,TIC_152829505.csv
376852649,6747,TIC_376852649.csv
35010589,3521,TIC_35010589.csv
377169533,17786,TIC_377169533.csv
56812140,13353,TIC_56812140.csv
35062897,3521,TIC_35062897.csv
82054568,22518,TIC_82054568.csv
152827208,13402,TIC_152827208.csv
380165622,25876,TIC_380165622.csv
376787010,22998,TIC_376787010.csv
35088534,3521,TIC_35088534.csv
78290719,25877,TIC_78290719.csv
130587794,13457,TIC_130587794.csv
149951723,13457,TIC_149951723.csv
325253026,25831,TIC_325253026.csv
262934195,16721,TIC_262934195.csv
149968627,24561,TIC_149968627.csv
421193239,6704,TIC_421193239.csv
96244132,13413,TIC_96244132.csv
62964949,25912,TIC_62964949.csv
377172242,13457,TIC_377172242.csv
412130750,17718,TIC_412130750.csv
35016665,6704,TIC_35016665.csv
397051818,13447,TIC_397051818.csv
78289496,1731,TIC_78289496.csv
397056703,13457,TIC_397056703.csv
301628336,32741,TIC_301628336.csv
377261957,13457,TIC_377261957.csv
471011765,17484,TIC_471011765.csv
49453107,22514,TIC_49453107.csv
376851794,3399,TIC_376851794.csv
66671319,13362,TIC_66671319.csv
388917185,13457,TIC_388917185.csv
380154639,25737,TIC_380154639.csv
377170285,13457,TIC_377170285.csv
380574362,26093,TIC_380574362.csv
396972684,32369,TIC_396972684.csv
149969713,13457,TIC_149969713.csv
396947690,26213,TIC_396947690.csv
349446059,13359,TIC_349446059.csv
953345605,13457,TIC_953345605.csv
301628517,14088,TIC_301628517.csv
377169488,17755,TIC_377169488.csv
281910007,26158,TIC_281910007.csv
396956082,13326,TIC_396956082.csv
35062784,13253,TIC_35062784.csv
