tic_id,missing_values,extreme_variability,large_flux_range,negative_period,high_period_power,quality_flags
281930003,0,False,False,False,False,0
397025502,0,False,False,False,False,0
397013579,0,False,False,False,False,0
396956082,0,False,False,False,False,0
325274571,0,False,False,False,False,0
396947690,0,False,False,False,False,0
388925056,0,False,False,False,False,0
325314611,0,False,False,False,False,0
337749805,0,False,False,False,False,0
349446059,0,False,False,False,False,0
380574362,0,False,False,False,False,0
380546964,0,False,False,False,False,0
380545064,0,False,False,False,False,0
35010505,0,False,False,False,False,0
35010589,0,False,False,False,False,0
35016665,0,False,False,False,False,0
380154639,0,False,False,False,False,0
377262134,0,False,False,False,False,0
377261957,0,False,False,False,False,0
377249503,0,False,False,False,False,0
377249246,0,False,False,False,False,0
130587794,0,False,False,False,False,0
