flux_std,flux_range,flux_mad,flux_skew,flux_kurtosis,dominant_period,period_power,num_periods,flare_count,largest_flare,dip_count,largest_dip_depth,tic_id,classification
0.129892922337576,3.80384915,0.00291914,10.302081299521683,179.10529494287914,16.270443344808317,0.1802377484001662,3727,57,3.3008533,2,0.50299585,130587794,flare_variable
0.0219886321283482,1.04071104,0.0026355999999999,-16.886250037171582,476.62137590383344,13.5264555767236,0.0117583055972302,6815,23,0.3086194,23,0.7320916399999999,130609604,flare_variable
0.1291547086366607,15.0757159364,0.000875775,97.4672688774556,10573.7825478465,0.0927075319279164,0.0004663301492569,4184,3,14.076139,6,0.9995769364,147677682,quiet_star
0.0357789889204923,1.24957063,0.0044351,-6.050197112921375,108.89943101966766,0.002314731709551,0.0664298928012307,2692,25,0.5514048,50,0.69816583,147683759,flare_variable
2.058259091090802,47.8671674,0.0060222,13.392654328725213,198.8591887471629,150.74661962398903,0.0486414667343079,3461,30,47.369995,0,0.0,147683792,flare_variable
0.1405576727038662,3.80657035,0.001605025,15.164657731266017,253.85670553685577,403.6119066023474,0.0266262365918217,5165,33,3.249791,2,0.55677935,147697618,flare_variable
0.0123677840004452,0.5300676,0.0039523999999999,-6.8108889559875,312.0553216730827,16.061571973939603,0.4454028609364772,5629,183,0.0502793999999999,5,0.4797882,149951723,variable_star
0.0073933969055324,0.60173143,0.0009110999999999,-40.55683988844034,2684.290991873227,305.169870198484,0.0806722758105844,6699,24,0.1041815999999999,8,0.4975498299999999,149951742,flare_variable
0.0072664454632004,0.5353203,0.0008181,-38.979733709234985,2484.624410677636,15.858003677019674,0.0554842130532293,7800,4,0.0484529,8,0.4868673999999999,149951788,quiet_star
0.1146376116361605,8.4520230073,0.0009670999999999,42.30565177812283,2280.2546642142293,17.695684939504407,0.0018328655020011,8992,14,7.457948,12,0.9940750073,149952990,variable_star
0.2010263139026907,13.9021444,0.0019554999999999,47.63125516022083,2840.907957163263,110.72534613328688,0.0672126869057611,5384,31,13.138195,1,0.7639494,149968469,flare_variable
1.5802667640228525,184.0980960374,0.0016621999999999,91.72443830012458,9504.051808352728,101.29584061750572,0.0010135190861615,10781,9,183.09892,0,0.0,149968627,quiet_star
0.0369232751260151,0.56765945,0.02268475,-0.8169112136690433,4.066786546907073,1.0361877575110123,0.4817895724125242,4293,0,0.0,8,0.49491465,149969713,variable_star
0.1012578109415383,10.43183945811,0.0013401499999999,47.233718542508846,3897.5666556992874,67.43888609955292,0.0039834501619341,10826,4,9.432026,58,0.99981345811,152802579,variable_star
0.1150950374910034,7.7152945854,0.0021008,36.240464901820985,1797.84135072819,0.2823399958239717,0.0028462194246866,3838,2,6.7160683,9,0.9992262854,152821936,quiet_star
0.1291115810898818,7.38996449057,0.00087839,10.706919279452116,770.5430159841437,305.1682142648043,0.0412155610057866,3691,2,6.3902287,59,0.99973579057,152821992,variable_star
0.4753773633895552,34.1996854471,0.00125664,54.57509485550848,3349.3834173557652,0.4630091948257319,0.0014738289087318,3645,5,33.20067,0,0.0,152824458,quiet_star
0.6502744407463978,46.7418720184,0.0013620499999999,52.483600560778534,3151.53468436305,305.16823553601427,0.0043298443171519,3550,8,45.74302,0,0.0,152827208,quiet_star
0.0859694517993439,2.4129369868999997,0.0017285,-9.897448639212197,116.06488256317807,305.1682333012361,0.0422852698147704,3498,2,1.4134821999999998,36,0.9994547869,152829505,variable_star
0.0568650007912966,5.031706978,0.0011000799999999,22.497705331160105,1600.527192774386,14.154080076989096,0.105489955573863,8377,223,4.056635,13,0.975071978,173107765,flare_variable
0.3279715347151053,41.995634415,0.00209683,88.53004002630443,10160.406072596594,13.358068635326612,0.0150915519847314,7024,11,41.054874,0,0.0,173146703,quiet_star
0.1011134743152193,7.6279876945,0.001631,25.98092453182092,1291.1596118164691,14.1540799414789,0.0625490842174334,9338,163,6.632247,13,0.9957406945,173164452,flare_variable
0.0308920478100374,3.6032086465,0.0011627999999999,19.160785336646345,2555.9822027889845,5.326377477216803,0.0022031190581765,7487,7,2.6088927,16,0.9943159465,173165274,variable_star
0.1282088044614807,1.816023455,0.0023052999999999,-3.665918021785864,34.45777925551304,14.702586091895016,0.0388027623457752,4306,48,0.8175821000000001,59,0.998441355,176942039,flare_variable
0.0128952594884711,0.8627707600000001,0.0024264,-3.968088224984911,435.7672959141795,121.47540090514632,0.0751404452973112,7331,92,0.3766084,18,0.48616236,262933775,flare_variable
0.0126320685517585,0.7440950999999999,0.0020169199999999,-5.161971947200734,263.04752608104616,403.61180781625194,0.0800851354389823,8004,161,0.2710703999999999,45,0.4730246999999999,262933844,flare_variable
0.0938477357597205,3.61615915,0.0031419999999999,7.5884948850266625,112.80099843883286,16.484801792815997,0.2306531748389755,4618,109,3.1195592999999997,1,0.4965998499999999,262934195,flare_variable
0.2298043169756551,22.0310620682,0.0017329,72.00570004262963,6120.2245047952965,0.459337647089553,0.001080583122598,3479,3,21.03165,29,0.9994120682,277226501,variable_star
0.0279979468060699,3.0605581496,0.0012867,30.78780739026408,2647.9708949034502,83.52462765599019,0.0016620362440038,7575,10,2.0650032,12,0.9955549496,281884571,variable_star
0.0479194272831706,5.262672325,0.0011083999999999,39.26755096041427,3863.897813558138,0.1552343755510628,0.0009036899008826,6948,10,4.268253,17,0.994419325,281885450,variable_star
0.0217310898531587,2.5177138823,0.00143787,-6.079040801896223,2319.7801901758885,14.422658672175404,0.0009384100544327,10702,11,1.5207121,15,0.9970017823,281886418,variable_star
0.0535642839252293,5.798895806999999,0.0018382849999999,40.81893295561963,3960.4167444855866,176.76142046955317,0.000986082212437,4912,12,4.803868,17,0.995027807,281906534,variable_star
0.23902814393589,12.64161206,0.003121225,32.44892643893605,1223.225926145118,361.94004149394175,0.0276772709312275,3318,7,11.828266,1,0.81334606,281907544,quiet_star
0.0394541187735619,1.8137932824,0.0005835,-20.28356877286106,489.6230937223471,690.9764359721823,0.0219094984858587,6655,3,0.8148664000000001,26,0.9989268824,281907813,variable_star
0.0752712633390867,1.2624883849,0.0035439,-12.025632096420331,148.21506558003708,0.0034725715359554,0.0174527846775543,1143,1,0.2631756999999999,17,0.9993126849,281907937,variable_star
0.0592085521262147,4.1175524922,0.0019097,32.967476779702714,1460.0154629465096,143.41020803732232,0.0188870449462957,6426,11,3.1189795,11,0.9985729922,281910007,variable_star
0.0906857386280221,2.6660649593,0.0016574999999999,-3.2801799752898817,115.39280000124084,0.0034743400702487,0.0061223062325742,1784,8,1.6733606,28,0.9927043593,281929681,variable_star
0.5619392638566589,69.36919278170001,0.0029535,105.89332583929244,12648.444845727876,13.597031555511997,0.0098783931455713,4987,6,68.36991,0,0.0,281929720,quiet_star
0.0262022431294682,2.0389162,0.0008741499999999,-12.746152357496744,756.2462001520418,138.49362611535875,0.0187778663279264,6414,2,1.073639,30,0.9652772,281930003,variable_star
0.0668847202237797,5.0300337,0.0011566999999998,41.97609112956745,2163.004253827944,143.41020721514167,0.0097477956220784,7969,13,4.0839777,8,0.946056,301628336,quiet_star
0.0579075101628195,6.011622654,0.001843075,74.31736728166887,6166.674184837841,15.07220160568613,0.0012449684188809,4386,3,5.0254154,6,0.986207254,301628517,quiet_star
0.1121975078624875,5.12635456993,0.0032710999999999,4.686045192111475,210.36169948032872,14.034726938030728,0.1141677074297144,11055,30,4.1264925,291,0.99986206993,325253026,flare_variable
0.1794916532631512,16.19856067,0.0022625999999998,46.73778553323495,3479.19344016897,53.15203271714664,0.0120087818362707,4070,22,15.633518,1,0.56504267,325254297,flare_variable
0.0401629524896414,3.2488204989,0.0016419,5.435483619403785,1078.9972612024242,143.4102028598818,0.0025538535370908,4949,10,2.249174,11,0.9996464989,325274571,variable_star
0.055118986193926,4.384961409,0.00133795,10.744395349180834,581.0563448640455,14.15407941102992,0.1246289666907662,10594,254,3.392518,10,0.992443409,325314611,flare_variable
0.1839016706352443,29.551701184,0.0015072,145.4115052873099,22443.63140431747,12.992719064526964,0.0003322382137838,6820,4,28.610909,4,0.940792184,325314625,quiet_star
0.0309339158998938,4.240583788,0.0019568,40.23290342581856,5374.281323071687,0.0139257439798574,0.0004396000229562,9255,11,3.2537794,10,0.986804388,337749805,variable_star
0.0426335456234997,3.325540019,0.0006739999999999,45.77506323021458,2584.7677428036195,110.72476143128344,0.0053463752105598,8347,2,2.3273344,5,0.998205619,349446059,quiet_star
0.2102295804272976,19.576947383426,0.0014912499999999,70.1222208417595,5592.759562264316,403.609646207541,0.0040123396683893,6076,3,18.577063,3,0.999884383426,349456527,quiet_star
0.5598730776871627,60.6609481164,0.0020565699999999,84.56587454403557,8267.829144875133,0.3936416251130781,0.0007874435121384,4897,4,59.663548,0,0.0,349457896,quiet_star
1.1218988284586646,83.232617405,0.0033253249999999,59.381950355861235,3904.2902124742263,305.1681334023049,0.0084946855955895,3605,14,82.23934,0,0.0,35010028,quiet_star
0.0119719112224806,0.5214702,0.0005622,-35.145007939855724,1399.2279234412435,0.0034734104625469,0.0278027730633225,2113,0,0.0,2,0.4889890999999999,35010505,quiet_star
0.0113605926171745,0.5007993,0.0006014999999999,-41.01900834754764,1708.674342228215,0.0034726103428837,0.0040639769838681,2501,0,0.0,2,0.4877694999999999,35010589,quiet_star
0.0094970425881721,0.5711170000000001,0.0016821199999999,-39.506320894691214,2003.536755304434,0.0017362944290667,0.0235672612342387,3089,7,0.0756475,11,0.4954695,35016665,variable_star
