flux_std,flux_range,relative_flux_range,coefficient_of_variation,flux_mad,flux_skew,flux_kurtosis,dominant_period,period_power,period_confidence,num_periods,flare_count,flare_frequency,largest_flare,flare_strength,dip_count,largest_dip_depth,tic_id
0.12989292233757604,3.80384915,3.6752333838116837,0.12550098220796108,0.0029191400000000423,10.302081299521683,179.10529494287914,16.270443344808317,0.1802377484001662,0.0009161589790909415,3727,57,0.004235713754923089,3.3008533,25.41211053379398,2,0.50299585,130587794
0.02198863212834825,1.04071104,1.0415601994377994,0.022006573568170092,0.00263559999999996,-16.886250037171582,476.62137590383344,13.5264555767236,0.01175830559723028,0.00018852356078495223,6815,23,0.0017091476554952814,0.3086194,14.035406941122124,23,0.7320916399999999,130609604
0.1291547086366607,15.0757159364,15.062942794233852,0.12904528023791645,0.0008757750000000231,97.46726887745561,10573.7825478465,0.09270753192791643,0.00046633014925698935,1.1584596298617271e-05,4184,3,0.0002244500972617088,14.076139,108.98664979841449,6,0.9995769364,147677682
0.035778988920492395,1.24957063,1.2509274351587492,0.03581783835851268,0.004435100000000025,-6.050197112921375,108.89943101966766,0.002314731709551005,0.06642989280123078,0.0022781969467568363,2692,25,0.00251281535832747,0.5514048,15.411413699401194,50,0.69816583,147683759
2.058259091090802,47.8671674,38.462581862686,1.6538676317349346,0.006022200000000089,13.392654328725211,198.8591887471629,150.74661962398903,0.04864146673430794,0.0007269404503803458,3461,30,0.0022293230289068887,47.369995,23.01459286881888,0,0.0,147683792
0.14055767270386627,3.8065703500000003,3.759109288511097,0.13880517222875083,0.0016050250000000377,15.164657731266017,253.85670553685577,403.6119066023474,0.026626236591821777,0.0004909362612010337,5165,33,0.001974629009095261,3.249791,23.1206944273104,2,0.55677935,147697618
0.012367784000445208,0.5300676,0.5283185483543111,0.012326974313228893,0.003952399999999967,-6.8108889559875,312.0553216730827,16.061571973939603,0.4454028609364772,0.0026778276463151566,5629,183,0.01359887047633202,0.050279399999999974,4.065352370173189,5,0.4797882,149951723
0.007393396905532478,0.60173143,0.6014465002111768,0.00738989600976079,0.0009110999999999425,-40.55683988844034,2684.290991873227,305.169870198484,0.08067227581058445,0.0011262846057260283,6699,24,0.001783458423125511,0.10418159999999999,14.091168285858007,8,0.49754982999999997,149951742
0.0072664454632004796,0.5353203,0.5350000103586644,0.00726209784699539,0.0008181000000000438,-38.979733709234985,2484.6244106776358,15.858003677019674,0.05548421305322938,0.0006385444377894284,7800,4,0.00029724307052091846,0.04845290000000002,6.668033255789291,8,0.48686739999999995,149951788
0.1146376116361605,8.4520230073,8.431791925661926,0.11436321071725603,0.0009670999999999985,42.30565177812283,2280.2546642142293,17.695684939504407,0.0018328655020011105,5.433098620852326e-05,8992,14,0.0007910945357970277,7.457948,65.05672870846445,12,0.9940750073,149952990
0.20102631390269077,13.9021444,13.562664322151104,0.19611740008840453,0.001955499999999999,47.63125516022083,2840.907957163263,110.72534613328688,0.06721268690576117,0.000594577846369379,5384,31,0.0018535127055306427,13.138195,65.35559820471913,1,0.7639494,149968469
1.5802667640228525,184.09809603739998,179.30773197541635,1.5391470931644184,0.001662199999999947,91.72443830012458,9504.051808352728,101.29584061750573,0.0010135190861615456,1.9907625957631507e-05,10781,9,0.00036643459142543056,183.09892,115.86582985134032,0,0.0,149968627
